issue_id,creator,created_at,closed_at,labels,n_comments,n_reactions,is_locked
942298762,mcl21014,2021-07-12T17:47:45Z,,['Bug 🐞'],2,0,False
942207474,SimonBasca,2021-07-12T15:58:23Z,,['Bug 🐞'],2,0,False
942168193,SimonBasca,2021-07-12T15:13:30Z,,['Bug 🐞'],0,0,False
942151305,SimonBasca,2021-07-12T14:57:32Z,,['Bug 🐞'],0,0,False
942144807,SimonBasca,2021-07-12T14:50:34Z,,['Bug 🐞'],0,0,False
942095779,SimonBasca,2021-07-12T14:00:50Z,,['Bug 🐞'],0,0,False
941344508,bash321,2021-07-11T00:12:18Z,,['Bug 🐞'],0,0,False
941292917,pyrho,2021-07-10T17:36:10Z,2021-07-10T19:29:03Z,['Bug 🐞'],1,0,False
941292126,pyrho,2021-07-10T17:31:30Z,2021-07-12T08:45:20Z,"['Bug 🐞', 'qa-triaged']",1,0,False
940463007,isabelrios,2021-07-09T06:32:28Z,,"['eng:automation', 'eng:ui-test']",0,0,False
940276240,DieNand,2021-07-08T22:52:30Z,,['Bug 🐞'],3,0,False
940213206,theodore-earnin,2021-07-08T20:52:49Z,,['Bug 🐞'],0,0,False
940164066,data-sync-user,2021-07-08T19:40:31Z,,['Bug 🐞'],3,0,False
940012014,isabelrios,2021-07-08T16:06:10Z,,"['Bug 🐞', 'Needs-UX', 'P2']",2,0,False
939351307,st3fan,2021-07-08T00:07:36Z,2021-07-09T17:01:09Z,['P16107'],0,0,False
938627185,SimonBasca,2021-07-07T08:23:10Z,,"['Bug 🐞', 'P3']",0,0,False
937319418,jungaretti,2021-07-05T19:19:31Z,,['Feature-Request'],1,0,False
937107306,ghost,2021-07-05T13:43:22Z,,['Feature-Request'],0,0,False
936912485,badboy,2021-07-05T09:54:02Z,,['Bug 🐞'],1,0,False
936715010,nates,2021-07-05T05:52:54Z,,"['Bug 🐞', 'Contributor OK', 'P3']",1,0,False
935771214,gutley,2021-07-02T13:26:28Z,,['Feature-Request'],0,0,False
935711855,SimonBasca,2021-07-02T12:11:06Z,,['Bug 🐞'],0,0,False
934973615,gutley,2021-07-01T15:36:11Z,,['Feature-Request'],0,0,False
934818102,SimonBasca,2021-07-01T13:00:06Z,,['Bug 🐞'],1,0,False
934532104,BigSamSampson,2021-07-01T07:57:31Z,,['Bug 🐞'],1,0,False
932153976,ChaiTRex,2021-06-29T02:49:47Z,,"['Bug 🐞', 'P2']",0,0,False
931763771,mcl21014,2021-06-28T16:49:47Z,,['Feature-Request'],0,0,False
929671774,cpeterso,2021-06-24T22:47:21Z,,"['Bug 🐞', 'P3']",0,0,False
929666859,cpeterso,2021-06-24T22:41:08Z,,"['Bug 🐞', 'P2']",0,0,False
927735734,huonw,2021-06-23T00:28:05Z,,"['Bug 🐞', 'Feature-Request', 'Needs-UX']",0,0,False
927728810,huonw,2021-06-23T00:17:26Z,,"['Bug 🐞', 'Feature-Request']",0,0,False
927507674,AaronMT,2021-06-22T18:11:42Z,2021-06-24T19:28:21Z,['Bug 🐞'],1,0,False
927286648,isabelrios,2021-06-22T14:18:20Z,2021-06-23T08:03:37Z,"['eng:automation', 'eng:intermittent-test']",0,0,False
926777503,tiQu,2021-06-22T03:04:13Z,2021-06-23T07:39:10Z,"['Bug 🐞', 'qa-triaged']",5,0,False
926091361,isabelrios,2021-06-21T10:55:07Z,2021-06-22T11:08:25Z,['eng:automation'],2,0,False
925566928,mferrera,2021-06-20T10:20:35Z,,"['Bug 🐞', 'Crash']",0,0,False
924820225,SimonBasca,2021-06-18T11:37:04Z,,['Bug 🐞'],0,0,False
924403281,fernando9431,2021-06-17T23:02:49Z,,['Bug 🐞'],2,0,False
924058098,data-sync-user,2021-06-17T15:25:26Z,2021-06-22T16:24:21Z,['QA Verified'],1,0,False
923621726,abceleung,2021-06-17T08:16:54Z,2021-06-17T10:25:23Z,"['Bug 🐞', 'qa-triaged']",5,0,False
923357219,brandyblacktea,2021-06-17T03:00:04Z,2021-06-17T10:33:30Z,['qa-triaged'],1,0,False
923175896,lougeniaC64,2021-06-16T22:33:52Z,2021-06-23T17:34:04Z,"['P2', 'QA Verified']",3,0,False
923102953,dnarcese,2021-06-16T21:05:21Z,,"['Bug 🐞', 'P1']",1,0,False
922889800,travis79,2021-06-16T17:29:27Z,,['Bug 🐞'],1,0,False
922642642,lnyng,2021-06-16T13:51:42Z,,"['Bug 🐞', 'Crash', 'P1']",2,0,False
921506244,data-sync-user,2021-06-15T15:13:03Z,2021-07-07T19:26:53Z,['QA Verified'],1,0,False
921299820,SimonBasca,2021-06-15T11:33:37Z,,"['Bug 🐞', 'P3']",0,0,False
921184437,SimonBasca,2021-06-15T09:14:36Z,,"['Bug 🐞', 'P2']",0,0,False
921182087,isabelrios,2021-06-15T09:12:02Z,2021-06-17T15:43:31Z,"['eng:automation', 'eng:intermittent-test', 'eng:ui-test']",0,0,False
921179365,SimonBasca,2021-06-15T09:09:02Z,,"['Bug 🐞', 'P2']",0,0,False
921174833,SimonBasca,2021-06-15T09:04:23Z,,"['Bug 🐞', 'Contributor OK', 'P2']",0,0,False
921007928,bli-mozbj,2021-06-15T05:40:17Z,2021-06-24T18:11:31Z,['Bug 🐞'],1,0,False
920805519,Shawon4877,2021-06-14T21:55:34Z,2021-06-15T08:19:15Z,['qa-triaged'],1,0,False
920450244,SimonBasca,2021-06-14T14:06:51Z,,"['Bug 🐞', 'P1']",0,0,False
920280274,isabelrios,2021-06-14T10:39:35Z,2021-06-24T15:39:16Z,['eng:automation'],1,0,False
919940523,aegatlin,2021-06-14T02:04:20Z,2021-06-14T09:58:45Z,['Bug 🐞'],2,0,False
919692241,usernameandpassword1,2021-06-13T01:21:25Z,,['Bug 🐞'],1,0,False
918588953,SimonBasca,2021-06-11T10:52:42Z,,['Feature-Request'],0,0,False
918528943,SimonBasca,2021-06-11T09:57:54Z,2021-06-14T10:58:14Z,"['Bug 🐞', 'QA Verified', 'Release Blocker']",3,0,False
917798467,data-sync-user,2021-06-10T19:38:39Z,,['P2'],1,0,False
915978194,SimonBasca,2021-06-09T09:13:57Z,,['Bug 🐞'],0,0,False
915734755,karlcow,2021-06-09T03:27:01Z,,['Bug 🐞'],3,0,False
915357423,matt3948,2021-06-08T18:54:28Z,2021-06-08T20:35:31Z,['Bug 🐞'],1,0,False
914695086,ghost,2021-06-08T09:37:02Z,2021-06-14T20:10:42Z,"['Bug 🐞', 'P2']",0,0,False
914565880,SimonBasca,2021-06-08T08:22:57Z,,['Bug 🐞'],0,0,False
913749130,SimonBasca,2021-06-07T16:49:31Z,,['Bug 🐞'],0,0,False
913705392,SimonBasca,2021-06-07T15:59:10Z,,['Bug 🐞'],0,0,False
913697575,SimonBasca,2021-06-07T15:50:30Z,,['Bug 🐞'],0,0,False
913683310,SimonBasca,2021-06-07T15:33:36Z,,['Bug 🐞'],1,0,False
913281337,isabelrios,2021-06-07T08:30:00Z,2021-06-08T08:00:19Z,['eng:automation'],0,0,False
913177162,BigSamSampson,2021-06-07T06:51:32Z,,['Bug 🐞'],0,0,False
913142384,BigSamSampson,2021-06-07T06:13:51Z,2021-06-07T07:58:21Z,"['Bug 🐞', 'qa-triaged']",1,0,False
912948212,eliserichards,2021-06-06T21:05:42Z,2021-06-08T20:03:16Z,"['Bug 🐞', 'QA Verified']",1,0,False
912943087,DCzajkowski,2021-06-06T20:40:24Z,2021-06-08T20:47:32Z,['Bug 🐞'],2,1,False
912878685,jmiguy,2021-06-06T16:20:58Z,2021-07-07T18:08:14Z,"['Bug 🐞', 'Needs-UX', 'P1', 'QA Verified']",4,0,False
912875568,jmiguy,2021-06-06T16:09:13Z,2021-06-07T08:22:19Z,['qa-triaged'],1,0,False
912342922,eliserichards,2021-06-05T16:46:31Z,,['Bug 🐞'],1,0,False
911223572,BrightScreenTV,2021-06-04T07:41:34Z,,['Bug 🐞'],0,0,False
911166768,karlcow,2021-06-04T06:28:28Z,,['Bug 🐞'],1,0,False
910325026,SimonBasca,2021-06-03T09:54:40Z,,"['Bug 🐞', 'P2']",1,0,False
909998020,palex88,2021-06-03T01:02:07Z,,"['Bug 🐞', 'P2']",1,0,False
909726147,jakobkappel,2021-06-02T17:30:34Z,,"['Bug 🐞', 'P2']",0,0,False
908603834,bruhdev1290,2021-06-01T19:06:31Z,2021-06-03T16:49:31Z,['Bug 🐞'],2,0,False
907804157,karlcow,2021-06-01T02:05:10Z,2021-06-01T16:06:17Z,"['Feature-Request', 'QA Verified']",3,0,False
907747554,PapiPeppers,2021-05-31T22:58:30Z,,"['Bug 🐞', 'P1']",16,2,False
907349701,BigSamSampson,2021-05-31T10:41:56Z,,['Bug 🐞'],0,0,False
906585546,Ryo-ryomac,2021-05-30T00:01:55Z,2021-06-07T16:56:20Z,['Bug 🐞'],4,0,False
906550615,F3000,2021-05-29T20:11:55Z,,['Feature-Request'],0,0,False
905385864,SimonBasca,2021-05-28T13:13:43Z,2021-06-11T10:16:29Z,['Bug 🐞'],3,0,False
905279895,SimonBasca,2021-05-28T12:06:03Z,,"['Bug 🐞', 'P3']",0,0,False
905227392,SimonBasca,2021-05-28T11:31:16Z,2021-05-28T15:29:35Z,['Bug 🐞'],1,0,False
904977807,SimonBasca,2021-05-28T08:51:13Z,,"['eng:automation', 'eng:intermittent-test']",0,0,False
903948059,isabelrios,2021-05-27T16:07:22Z,2021-06-10T22:49:03Z,['QA Verified'],1,0,False
902912603,jodyheavener,2021-05-26T21:00:29Z,,"['Bug 🐞', 'P3']",0,0,False
900987999,data-sync-user,2021-05-25T15:30:18Z,2021-05-28T02:14:42Z,['QA Verified'],2,0,False
900576797,gutley,2021-05-25T09:58:34Z,2021-05-25T10:44:56Z,['Bug 🐞'],2,0,False
899703695,dareducky,2021-05-24T14:14:41Z,,"['Feature-Request', 'qa-triaged']",3,0,False
899606145,SimonBasca,2021-05-24T12:15:08Z,,"['Accessibility', 'Bug 🐞', 'Needs-UX', 'P2']",0,0,False
898802895,KLszTsu,2021-05-22T13:25:10Z,,"['Bug 🐞', 'Crash', 'P1']",6,0,False
898655742,athomasmoz,2021-05-21T23:07:13Z,,"['Bug 🐞', 'P1']",0,0,False
897784997,isabelrios,2021-05-21T07:48:24Z,2021-06-03T16:58:29Z,['eng:intermittent-test'],1,0,False
897041779,BigSamSampson,2021-05-20T16:06:21Z,,"['Bug 🐞', 'P2']",1,0,False
896997300,gutley,2021-05-20T15:38:50Z,,['Bug 🐞'],0,0,False
896862338,gutley,2021-05-20T13:49:49Z,2021-06-10T17:58:42Z,"['Bug 🐞', 'QA Verified']",3,0,False
896657826,SimonBasca,2021-05-20T11:07:59Z,,"['Bug 🐞', 'P3']",1,0,False
896647777,SimonBasca,2021-05-20T10:59:42Z,2021-05-20T21:32:09Z,"['Bug 🐞', 'P1', 'QA Verified']",3,0,False
896564663,SimonBasca,2021-05-20T09:50:22Z,,"['Bug 🐞', 'P2']",0,0,False
896444219,isabelrios,2021-05-20T07:57:16Z,,"['eng:automation', 'eng:intermittent-test']",2,0,False
896438907,trongnhan68,2021-05-20T07:51:51Z,,['Feature-Request'],0,0,False
895804399,data-sync-user,2021-05-19T19:28:32Z,,['P2'],0,0,False
895731928,arthuredelstein,2021-05-19T18:03:18Z,,['Feature-Request'],0,0,False
895621775,athomasmoz,2021-05-19T16:00:49Z,2021-05-20T15:45:49Z,['Bug 🐞'],4,0,False
895408479,st3fan,2021-05-19T12:52:24Z,,['security'],3,0,False
895139890,gutley,2021-05-19T08:19:03Z,2021-06-28T12:24:51Z,"['Bug 🐞', 'Needs-UX', 'P1', 'QA Verified']",7,0,False
894522965,gutley,2021-05-18T15:45:45Z,2021-05-18T15:53:31Z,['Bug 🐞'],2,0,False
894466179,SimonBasca,2021-05-18T14:47:27Z,2021-05-24T08:37:53Z,['Bug 🐞'],4,0,False
894451524,SimonBasca,2021-05-18T14:32:51Z,2021-05-20T10:10:15Z,['Bug 🐞'],1,0,False
894446247,SimonBasca,2021-05-18T14:27:45Z,2021-05-20T10:11:09Z,['Bug 🐞'],1,0,False
894432315,topotropic,2021-05-18T14:14:50Z,2021-05-18T14:29:31Z,['Feature-Request'],1,0,False
894331973,SimonBasca,2021-05-18T12:35:50Z,2021-05-19T22:27:43Z,"['Bug 🐞', 'QA Verified']",2,0,False
894310794,SimonBasca,2021-05-18T12:11:22Z,,"['Accessibility', 'Bug 🐞', 'P2']",0,0,False
894300851,SimonBasca,2021-05-18T11:59:22Z,2021-05-19T22:27:43Z,"['Bug 🐞', 'QA Verified']",1,0,False
894298136,SimonBasca,2021-05-18T11:55:47Z,2021-05-20T10:12:53Z,['Bug 🐞'],1,0,False
894293719,SimonBasca,2021-05-18T11:50:14Z,2021-05-19T22:27:43Z,"['Bug 🐞', 'QA Verified']",1,0,False
894287488,SimonBasca,2021-05-18T11:42:10Z,,"['Accessibility', 'Bug 🐞', 'P3']",0,0,False
894278831,SimonBasca,2021-05-18T11:31:42Z,2021-05-20T10:11:12Z,['Bug 🐞'],1,0,False
894275646,SimonBasca,2021-05-18T11:27:39Z,2021-05-19T22:27:42Z,"['Bug 🐞', 'QA Verified']",2,0,False
894270691,isabelrios,2021-05-18T11:21:09Z,,"['Bug 🐞', 'P1']",1,0,False
894269298,SimonBasca,2021-05-18T11:19:23Z,,"['Accessibility', 'Bug 🐞', 'P2']",0,0,False
893879726,shepazon,2021-05-18T02:20:04Z,,['Feature-Request'],0,0,False
893586641,nbhasin2,2021-05-17T18:24:02Z,2021-05-17T19:12:00Z,"['Accessibility', 'Bug 🐞', 'QA Verified']",1,0,False
893427770,SimonBasca,2021-05-17T15:04:49Z,,"['Bug 🐞', 'P2', 'eng:bug-auto-found']",0,0,False
893419230,data-sync-user,2021-05-17T14:56:15Z,,['P2'],1,0,False
893408132,SimonBasca,2021-05-17T14:44:46Z,,"['Bug 🐞', 'P3']",0,0,False
893151857,SimonBasca,2021-05-17T09:47:04Z,,"['Bug 🐞', 'P2', 'qa-triaged']",0,0,False
893138290,SimonBasca,2021-05-17T09:31:07Z,,"['Bug 🐞', 'P3']",1,0,False
893133283,SimonBasca,2021-05-17T09:25:19Z,,"['Bug 🐞', 'P2']",0,0,False
893116172,isabelrios,2021-05-17T09:06:14Z,2021-06-03T13:10:47Z,['eng:automation'],0,0,False
892163181,mtreichel,2021-05-14T18:57:36Z,2021-05-17T08:51:47Z,"['Bug 🐞', 'qa-triaged']",1,0,False
891983632,gutley,2021-05-14T14:46:29Z,,"['Bug 🐞', 'P2']",1,0,False
891149931,SimonBasca,2021-05-13T15:41:14Z,2021-05-17T19:47:22Z,"['Bug 🐞', 'P1', 'QA Verified']",1,0,False
891133033,alenevans,2021-05-13T15:19:48Z,2021-06-08T20:48:49Z,['Feature-Request'],1,0,False
890574111,scarhead7,2021-05-12T23:56:31Z,2021-06-14T16:34:37Z,"['Bug 🐞', 'P1']",4,0,False
890496154,PandorasFox,2021-05-12T21:18:05Z,2021-05-13T18:39:25Z,['Bug 🐞'],2,0,False
890374076,electricRGB,2021-05-12T18:30:09Z,2021-06-08T20:49:13Z,"['Bug 🐞', 'QA Verified']",1,0,False
888960073,karlcow,2021-05-11T22:39:53Z,,['Feature-Request'],0,0,False
887908179,data-sync-user,2021-05-11T17:07:18Z,2021-06-24T18:29:31Z,['QA Verified'],3,0,False
887799093,data-sync-user,2021-05-11T16:26:19Z,2021-05-13T15:11:38Z,['QA Verified'],3,0,False
887688365,data-sync-user,2021-05-11T15:46:20Z,2021-06-10T16:52:19Z,['QA Verified'],5,0,False
887404903,st3fan,2021-05-11T14:10:08Z,,['P16107'],0,0,False
881584965,ErikeSu,2021-05-09T01:35:56Z,,['Feature-Request'],1,0,False
878715461,mimi89999,2021-05-07T10:07:44Z,,['Feature-Request'],0,0,False
878648902,SimonBasca,2021-05-07T09:14:57Z,2021-05-14T09:09:29Z,['Bug 🐞'],3,0,False
877611311,nbhasin2,2021-05-06T15:18:17Z,,"['Bug 🐞', 'P2']",1,0,False
877601640,AndiAJ,2021-05-06T15:09:55Z,,['Feature-Request'],0,0,False
877592358,muhasturk,2021-05-06T15:00:31Z,,"['Bug 🐞', 'P3']",0,0,False
877554836,SimonBasca,2021-05-06T14:23:58Z,2021-05-13T22:24:14Z,"['Bug 🐞', 'QA Verified']",1,0,False
877523593,SimonBasca,2021-05-06T13:52:45Z,,"['Bug 🐞', 'P2']",2,0,False
877514482,SimonBasca,2021-05-06T13:44:14Z,2021-05-17T15:44:52Z,"['Bug 🐞', 'QA Verified']",1,0,False
877499535,nbhasin2,2021-05-06T13:29:26Z,,"['Bug 🐞', 'P2']",0,0,False
877497486,electricRGB,2021-05-06T13:27:18Z,2021-05-17T13:24:44Z,"['Bug 🐞', 'Regression']",1,0,False
877487730,SimonBasca,2021-05-06T13:16:57Z,2021-05-13T18:46:49Z,['Bug 🐞'],1,0,False
877485814,SimonBasca,2021-05-06T13:14:58Z,2021-05-06T17:20:23Z,['Bug 🐞'],1,0,False
877429062,AndiAJ,2021-05-06T12:09:57Z,2021-05-06T16:58:18Z,['Bug 🐞'],1,0,False
877418720,AndiAJ,2021-05-06T11:56:43Z,,"['Bug 🐞', 'P3']",0,0,False
877391433,AndiAJ,2021-05-06T11:21:34Z,2021-05-13T18:50:12Z,['Bug 🐞'],1,0,False
877346597,AndiAJ,2021-05-06T10:26:34Z,2021-05-17T19:45:18Z,"['Bug 🐞', 'QA Verified']",11,0,False
877192703,isabelrios,2021-05-06T07:52:02Z,2021-05-06T13:28:24Z,"['Bug 🐞', 'Regression', 'eng:bug-auto-found']",2,0,False
876950015,nbhasin2,2021-05-06T00:01:54Z,2021-05-07T18:43:40Z,"['Bug 🐞', 'QA Verified']",5,0,False
876938548,dnarcese,2021-05-05T23:32:43Z,2021-05-17T15:34:14Z,"['Bug 🐞', 'P2', 'QA Verified']",1,0,False
876929866,dnarcese,2021-05-05T23:12:44Z,2021-06-01T16:08:00Z,"['Bug 🐞', 'Needs-UX', 'P2', 'QA Verified']",4,0,False
876714727,dnarcese,2021-05-05T18:14:34Z,,['Feature-Request'],0,0,False
876598946,isabelrios,2021-05-05T15:52:00Z,2021-05-06T16:55:26Z,['Bug 🐞'],1,0,False
876496867,SimonBasca,2021-05-05T14:13:32Z,2021-05-06T08:10:31Z,['Bug 🐞'],3,0,False
876435461,isabelrios,2021-05-05T13:11:32Z,2021-05-06T13:22:37Z,['eng:automation'],0,0,False
876326958,SimonBasca,2021-05-05T10:56:42Z,2021-05-17T19:34:06Z,"['Bug 🐞', 'P1', 'QA Verified']",1,0,False
876261798,SimonBasca,2021-05-05T09:36:17Z,,"['Bug 🐞', 'Needs-UX', 'P3']",0,0,False
876255657,SimonBasca,2021-05-05T09:28:17Z,,"['Bug 🐞', 'P3']",0,0,False
876249665,SimonBasca,2021-05-05T09:20:54Z,2021-05-14T08:57:05Z,"['Bug 🐞', 'P3']",2,0,False
875607651,nbhasin2,2021-05-04T16:01:06Z,,"['Crash', 'P3']",0,0,False
875606186,nbhasin2,2021-05-04T15:59:17Z,,"['Crash', 'P3']",0,0,False
875602775,nbhasin2,2021-05-04T15:55:13Z,,"['Crash', 'P2']",1,0,False
874975309,data-sync-user,2021-05-03T23:08:28Z,,"['Bug 🐞', 'P2', 'qa-triaged']",1,0,False
874763706,nsusr,2021-05-03T17:30:51Z,,['Feature-Request'],1,0,False
874677804,data-sync-user,2021-05-03T15:31:13Z,2021-05-04T19:17:22Z,['QA Verified'],1,0,False
873764722,TollyThaWally,2021-05-01T20:43:27Z,,"['Bug 🐞', 'P2']",0,0,False
873658298,selimsumlu,2021-05-01T12:19:48Z,,"['Bug 🐞', 'P2']",0,0,False
871488158,BenWu,2021-04-29T20:36:45Z,2021-05-07T19:29:25Z,['2'],3,0,False
870732081,isabelrios,2021-04-29T08:04:10Z,2021-04-29T17:59:30Z,"['Bug 🐞', 'QA Verified', 'eng:bug-auto-found']",1,0,False
870620223,bnoctis,2021-04-29T05:18:44Z,,"['Bug 🐞', 'P3']",4,0,False
869082089,cpeterso,2021-04-27T17:33:06Z,,"['Bug 🐞', 'P1']",1,0,False
868264570,karlcow,2021-04-26T22:59:56Z,2021-05-03T21:23:17Z,"['Bug 🐞', 'QA Verified']",2,0,False
867632911,SimonBasca,2021-04-26T12:08:54Z,,"['Bug 🐞', 'Contributor OK']",0,0,False
867363012,karlcow,2021-04-26T07:27:43Z,,"['Bug 🐞', 'P2', 'qa-triaged']",1,0,False
866317674,cpeterso,2021-04-23T17:52:37Z,,['Bug 🐞'],8,0,False
866003878,Duckbilled,2021-04-23T11:03:15Z,2021-04-29T19:46:36Z,"['Bug 🐞', 'QA Verified', 'qa-triaged']",11,0,False
865359839,dnarcese,2021-04-22T19:06:06Z,,['P2'],2,0,False
864166645,00JohnD,2021-04-21T18:44:50Z,,['Feature-Request'],0,0,False
864118768,st3fan,2021-04-21T17:36:58Z,,"['P1', 'P16107']",1,0,False
864110011,st3fan,2021-04-21T17:24:31Z,,"['P1', 'P16107']",0,0,False
