release_id,release_name,created_at,published_at,author
44596708,v34.1,2021-06-14T19:58:12Z,2021-06-16T21:14:11Z,dnarcese
43401956,v34.0,2021-05-21T22:54:55Z,2021-05-22T02:59:44Z,nbhasin2
40029423,v33.0,2021-03-23T19:11:26Z,2021-03-24T17:59:11Z,dnarcese
39611100,v32.1,2021-03-12T00:41:58Z,2021-03-18T20:19:19Z,nbhasin2
38336036,v32.0,2021-02-24T19:31:03Z,2021-02-25T16:53:14Z,dnarcese
36781186,v31.0,2021-02-01T18:10:15Z,2021-02-03T17:07:09Z,dnarcese
35013008,v30.0,2020-12-10T21:56:37Z,2020-12-11T18:06:11Z,dnarcese
33940461,v29.2,2020-11-17T18:00:58Z,2020-11-19T16:24:14Z,dnarcese
33241805,v29.1,2020-10-28T20:03:05Z,2020-11-13T21:41:19Z,nbhasin2
32584011,v29.0,2020-10-14T16:15:42Z,2020-10-14T20:22:25Z,dnarcese
31084073,v28.2,2020-09-10T20:14:10Z,2020-09-10T20:22:15Z,garvankeeley
30445320,v28.1,2020-08-25T20:40:48Z,2020-08-31T15:45:02Z,dnarcese
29041400,v28.0,2020-07-24T21:05:28Z,2020-07-28T18:10:01Z,dnarcese
27849328,27.0,2020-06-23T17:53:26Z,2020-06-23T21:56:44Z,garvankeeley
26963234,26.0,2020-05-27T16:24:38Z,2020-05-27T21:00:23Z,nbhasin2
26280756,25.1,2020-05-07T16:47:27Z,2020-05-07T16:51:28Z,dnarcese
26060943,25.0,2020-04-29T22:46:00Z,2020-04-30T19:12:15Z,dnarcese
24950761,v24.1,2020-03-27T20:52:40Z,2020-03-27T22:30:01Z,dnarcese
24714702,24.0,2020-03-20T15:21:15Z,2020-03-20T15:32:06Z,dnarcese
23853091,23.0,2020-02-20T18:05:32Z,2020-02-20T18:31:00Z,dnarcese
23050210,22.0,2020-01-17T22:13:13Z,2020-01-22T19:23:53Z,garvankeeley
22030749,21.0,2019-12-05T22:40:58Z,2019-12-06T14:56:47Z,garvankeeley
21518018,20.2,2019-11-15T20:13:09Z,2019-11-15T20:24:50Z,garvankeeley
21153004,20.1-rel,2019-11-01T15:49:06Z,2019-11-01T16:13:19Z,garvankeeley
20818964,20.0,2019-10-18T18:03:59Z,2019-10-18T22:32:49Z,garvankeeley
17641653,17.3,2019-05-28T19:34:38Z,2019-05-28T22:18:19Z,farhanpatel
17502329,17.2,2019-05-21T23:14:03Z,2019-05-21T23:15:34Z,farhanpatel
17481211,17.1,2019-05-21T05:51:57Z,2019-05-21T08:16:26Z,farhanpatel
17409711,17.0,2019-05-14T21:18:25Z,2019-05-16T22:42:01Z,farhanpatel
16975338,v16.2-b,2019-04-24T18:57:23Z,2019-04-25T13:08:28Z,garvankeeley
16926436,v16.1,2019-04-19T02:42:31Z,2019-04-23T16:31:52Z,justindarc
10930880,11.1,2018-04-26T17:04:56Z,2018-05-09T21:45:32Z,farhanpatel
8493403,v10.0,2017-11-13T15:23:03Z,2017-11-13T15:23:59Z,st3fan
8493265,v10.1,2017-11-10T01:54:53Z,2017-11-13T15:17:00Z,st3fan
7902591,v9.1,2017-09-26T14:12:37Z,2017-09-27T00:40:05Z,st3fan
7900279,v10.0b1,2017-09-26T20:22:47Z,2017-09-26T20:24:01Z,st3fan
7216465,v8.1,2017-07-28T19:23:33Z,2017-07-29T13:42:23Z,st3fan
1717365,1.0.0RC3,2015-08-25T01:32:29Z,2015-08-25T01:57:12Z,st3fan
1717060,1.0.0RC2,2015-08-24T23:48:27Z,2015-08-24T23:57:39Z,st3fan
1707615,1.0.0RC1,2015-08-21T20:46:37Z,2015-08-21T23:40:56Z,st3fan
1087503,AuroraV6,2015-03-25T02:00:22Z,2015-03-25T02:01:06Z,st3fan
965084,AuroraV3,2015-02-18T19:47:14Z,2015-02-18T19:47:45Z,st3fan
964994,AuroraV2,2015-02-18T19:17:31Z,2015-02-18T19:22:36Z,st3fan
964978,AuroraV1,2015-02-18T19:17:31Z,2015-02-18T19:18:35Z,st3fan
